hur_id,name,positions,wind_peak
AL051878,UNNAMED,55,46.3
AL061878,UNNAMED,28,46.3
AL071878,UNNAMED,60,61.7
AL081878,UNNAMED,29,36.0
AL091878,UNNAMED,32,36.0
AL101878,UNNAMED,28,51.4
AL111878,UNNAMED,33,46.3
AL121878,UNNAMED,32,30.9
AL011879,UNNAMED,16,36.0
AL021879,UNNAMED,32,51.4
AL031879,UNNAMED,25,46.3
AL041879,UNNAMED,21,56.6
AL051879,UNNAMED,21,25.7
AL061879,UNNAMED,33,25.7
AL071879,UNNAMED,25,36.0
AL081879,UNNAMED,16,46.3
AL011880,UNNAMED,19,20.6
AL021880,UNNAMED,45,66.9
AL031880,UNNAMED,24,41.2
AL041880,UNNAMED,37,46.3
AL051880,UNNAMED,40,41.2
AL061880,UNNAMED,26,36.0
AL071880,UNNAMED,12,41.2
AL081880,UNNAMED,32,61.7
AL091880,UNNAMED,25,36.0
AL101880,UNNAMED,28,41.2
AL111880,UNNAMED,20,30.9
AL011881,UNNAMED,15,25.7
AL031881,UNNAMED,32,41.2
AL021881,UNNAMED,15,20.6
AL041881,UNNAMED,24,36.0
AL051881,UNNAMED,37,46.3
AL061881,UNNAMED,21,46.3
AL071881,UNNAMED,28,30.9
AL011882,UNNAMED,5,36.0
AL021882,UNNAMED,47,56.6
AL031882,UNNAMED,10,25.7
AL041882,UNNAMED,16,25.7
AL051882,UNNAMED,20,36.0
AL061882,UNNAMED,45,61.7
AL011883,UNNAMED,44,41.2
AL021883,UNNAMED,40,56.6
AL031883,UNNAMED,39,56.6
AL041883,UNNAMED,28,36.0
AL011884,UNNAMED,24,36.0
AL021884,UNNAMED,56,51.4
AL031884,UNNAMED,45,41.2
AL041884,UNNAMED,44,46.3
AL011885,UNNAMED,36,41.2
AL021885,UNNAMED,32,46.3
AL031885,UNNAMED,13,25.7
AL041885,UNNAMED,29,41.2
AL051885,UNNAMED,16,36.0
AL061885,UNNAMED,37,36.0
AL071885,UNNAMED,16,41.2
AL081885,UNNAMED,17,30.9
AL011886,UNNAMED,12,43.7
AL021886,UNNAMED,33,43.7
AL031886,UNNAMED,23,43.7
AL041886,UNNAMED,44,38.6
AL051886,UNNAMED,40,66.9
AL061886,UNNAMED,52,54.0
AL071886,UNNAMED,22,51.4
AL081886,UNNAMED,36,43.7
AL091886,UNNAMED,36,43.7
AL101886,UNNAMED,25,54.0
AL111886,UNNAMED,24,23.1
AL121886,UNNAMED,21,30.9
AL011887,UNNAMED,22,30.9
AL021887,UNNAMED,20,25.7
AL031887,UNNAMED,15,18.0
AL041887,UNNAMED,37,43.7
AL051887,UNNAMED,36,25.7
AL061887,UNNAMED,38,54.0
AL071887,UNNAMED,39,56.6
AL081887,UNNAMED,23,46.3
AL091887,UNNAMED,47,43.7
AL101887,UNNAMED,17,36.0
AL111887,UNNAMED,11,25.7
AL121887,UNNAMED,8,30.9
AL131887,UNNAMED,53,38.6
AL141887,UNNAMED,11,38.6
AL151887,UNNAMED,18,46.3
AL161887,UNNAMED,35,36.0
AL171887,UNNAMED,30,36.0
AL181887,UNNAMED,26,36.0
AL191887,UNNAMED,23,25.7
AL011888,UNNAMED,12,36.0
AL021888,UNNAMED,10,25.7
AL031888,UNNAMED,44,56.6
AL041888,UNNAMED,34,56.6
AL051888,UNNAMED,28,25.7
AL061888,UNNAMED,18,36.0
AL071888,UNNAMED,20,48.9
AL081888,UNNAMED,31,25.7
AL091888,UNNAMED,64,43.7
AL011889,UNNAMED,24,36.0
AL021889,UNNAMED,25,33.4
AL031889,UNNAMED,39,36.0
AL041889,UNNAMED,48,46.3
AL051889,UNNAMED,40,36.0
AL061889,UNNAMED,61,48.9
AL071889,UNNAMED,31,25.7
AL081889,UNNAMED,29,30.9
AL091889,UNNAMED,27,25.7
AL011890,UNNAMED,10,25.7
AL021890,UNNAMED,41,25.7
AL031890,UNNAMED,33,54.0
AL041890,UNNAMED,6,41.2
AL011891,UNNAMED,22,41.2
AL021891,UNNAMED,51,33.4
AL031891,UNNAMED,31,56.6
AL041891,UNNAMED,34,43.7
AL051891,UNNAMED,44,43.7
AL061891,UNNAMED,39,43.7
AL071891,UNNAMED,25,23.1
AL081891,UNNAMED,35,28.3
AL091891,UNNAMED,34,38.6
AL101891,UNNAMED,13,25.7
AL011892,UNNAMED,33,23.1
AL021892,UNNAMED,40,33.4
AL031892,UNNAMED,58,43.7
AL041892,UNNAMED,37,25.7
AL051892,UNNAMED,48,43.7
AL061892,UNNAMED,11,25.7
AL071892,UNNAMED,45,43.7
AL081892,UNNAMED,30,41.2
AL091892,UNNAMED,35,23.1
AL011893,UNNAMED,36,33.4
AL021893,UNNAMED,14,43.7
AL031893,UNNAMED,50,54.0
AL041893,UNNAMED,47,51.4
AL051893,UNNAMED,16,43.7
AL061893,UNNAMED,75,54.0
AL071893,UNNAMED,39,43.7
AL081893,UNNAMED,24,43.7
AL091893,UNNAMED,84,54.0
AL101893,UNNAMED,35,59.2
AL111893,UNNAMED,16,25.7
AL121893,UNNAMED,32,30.9
AL011894,UNNAMED,16,18.0
AL021894,UNNAMED,19,25.7
AL031894,UNNAMED,44,51.4
AL041894,UNNAMED,57,54.0
AL051894,UNNAMED,49,54.0
AL061894,UNNAMED,40,59.2
AL071894,UNNAMED,42,48.9
AL011895,UNNAMED,17,25.7
AL021895,UNNAMED,36,48.9
AL031895,UNNAMED,39,25.7
AL041895,UNNAMED,24,18.0
AL051895,UNNAMED,59,46.3
AL061895,UNNAMED,17,18.0
AL011896,UNNAMED,34,43.7
AL021896,UNNAMED,52,51.4
AL031896,UNNAMED,43,43.7
AL041896,UNNAMED,35,56.6
AL051896,UNNAMED,40,43.7
AL061896,UNNAMED,59,43.7
AL071896,UNNAMED,12,25.7
AL011897,UNNAMED,43,43.7
AL021897,UNNAMED,16,38.6
AL031897,UNNAMED,25,30.9
AL041897,UNNAMED,20,20.6
AL051897,UNNAMED,54,36.0
AL061897,UNNAMED,36,28.3
AL011898,UNNAMED,10,36.0
AL021898,UNNAMED,12,38.6
AL031898,UNNAMED,12,36.0
AL041898,UNNAMED,61,48.9
AL051898,UNNAMED,43,25.7
AL061898,UNNAMED,35,25.7
AL071898,UNNAMED,49,59.2
AL081898,UNNAMED,13,23.1
AL091898,UNNAMED,51,30.9
AL101898,UNNAMED,12,20.6
AL111898,UNNAMED,35,25.7
AL011899,UNNAMED,7,18.0
AL021899,UNNAMED,24,43.7
AL031899,UNNAMED,133,66.9
AL041899,UNNAMED,43,46.3
AL051899,UNNAMED,52,54.0
AL061899,UNNAMED,26,25.7
AL071899,UNNAMED,17,20.6
AL081899,UNNAMED,14,20.6
AL091899,UNNAMED,41,48.9
AL101899,UNNAMED,16,28.3
