hur_id,name,positions,wind_peak
AL061947,UNNAMED,27,28.3
AL071947,UNNAMED,16,25.7
AL081947,UNNAMED,13,25.7
AL091947,UNNAMED,36,46.3
AL101947,UNNAMED,22,54.0
AL011948,UNNAMED,28,23.1
AL021948,UNNAMED,18,18.0
AL031948,UNNAMED,44,54.0
AL041948,UNNAMED,10,25.7
AL051948,UNNAMED,22,36.0
AL061948,UNNAMED,54,59.2
AL071948,UNNAMED,14,28.3
AL081948,UNNAMED,36,59.2
AL091948,UNNAMED,56,56.6
AL101948,UNNAMED,11,33.4
AL011949,UNNAMED,37,48.9
AL021949,UNNAMED,40,59.2
AL031949,UNNAMED,14,20.6
AL041949,UNNAMED,35,56.6
AL051949,UNNAMED,11,25.7
AL061949,UNNAMED,47,33.4
AL071949,UNNAMED,14,23.1
AL081949,UNNAMED,16,25.7
AL091949,UNNAMED,27,41.2
AL101949,UNNAMED,11,36.0
AL111949,UNNAMED,41,48.9
AL121949,UNNAMED,21,25.7
AL131949,UNNAMED,35,41.2
AL141949,UNNAMED,17,25.7
AL151949,UNNAMED,19,23.1
AL161949,UNNAMED,9,28.3
AL011950,ABLE,51,56.6
AL021950,BAKER,60,46.3
AL031950,CHARLIE,61,48.9
AL041950,DOG,74,64.3
AL051950,EASY,39,54.0
AL061950,FOX,38,61.7
AL071950,GEORGE,42,48.9
AL081950,HOW,15,20.6
AL091950,ITEM,16,46.3
AL101950,JIG,27,51.4
AL111950,KING,31,59.2
AL121950,UNNAMED,31,30.9
AL131950,LOVE,21,36.0
AL141950,MIKE,14,20.6
AL151950,UNNAMED,10,23.1
AL161950,UNNAMED,10,30.9
AL011951,UNNAMED,41,28.3
AL021951,ABLE,36,41.2
AL031951,BAKER,15,25.7
AL041951,CHARLIE,52,59.2
AL051951,DOG,38,41.2
AL061951,EASY,55,66.9
AL071951,FOX,35,51.4
AL081951,GEORGE,11,25.7
AL091951,HOW,53,43.7
AL101951,ITEM,23,28.3
AL111951,JIG,20,33.4
AL121951,UNNAMED,36,36.0
AL011952,UNNAMED,13,30.9
AL021952,ABLE,66,43.7
AL031952,UNNAMED,6,23.1
AL041952,BAKER,40,48.9
AL051952,UNNAMED,27,23.1
AL061952,CHARLIE,29,54.0
AL071952,DOG,26,30.9
AL081952,UNNAMED,21,20.6
AL091952,EASY,21,46.3
AL101952,FOX,36,64.3
AL111952,UNNAMED,25,25.7
AL011953,ALICE,53,30.9
AL021953,UNNAMED,18,23.1
AL031953,BARBARA,26,41.2
AL041953,CAROL,52,72.0
AL051953,UNNAMED,13,18.0
AL061953,DOLLY,35,33.4
AL071953,EDNA,28,51.4
AL081953,UNNAMED,23,23.1
AL091953,FLORENCE,19,51.4
AL101953,GAIL,41,36.0
AL111953,UNNAMED,19,28.3
AL121953,HAZEL,40,38.6
AL131953,UNNAMED,15,23.1
AL141953,UNNAMED,9,28.3
AL011954,UNNAMED,14,23.1
AL021954,UNNAMED,29,30.9
AL031954,ALICE,13,48.9
AL041954,UNNAMED,15,23.1
AL051954,BARBARA,14,25.7
AL061954,CAROL,30,51.4
AL071954,DOLLY,18,38.6
AL081954,EDNA,41,56.6
AL091954,UNNAMED,8,20.6
AL101954,FLORENCE,11,28.3
AL111954,UNNAMED,11,20.6
AL121954,GILDA,24,30.9
AL131954,UNNAMED,48,43.7
AL141954,HAZEL,56,59.2
AL151954,UNNAMED,21,18.0
AL161954,ALICE,29,41.2
AL011955,BRENDA,14,30.9
AL021955,CONNIE,49,61.7
AL031955,DIANE,67,46.3
AL041955,EDITH,60,43.7
AL051955,UNNAMED,14,23.1
AL061955,FLORA,31,46.3
AL071955,GLADYS,14,33.4
AL081955,IONE,69,61.7
AL091955,HILDA,39,54.0
AL101955,JANET,40,77.2
AL111955,UNNAMED,22,23.1
AL121955,UNNAMED,18,28.3
AL131955,KATIE,20,48.9
AL011956,UNNAMED,15,25.7
AL021956,ANNA,9,38.6
AL031956,BETSY,50,54.0
AL041956,CARLA,38,30.9
AL051956,DORA,12,25.7
AL061956,ETHEL,11,25.7
AL071956,FLOSSY,52,41.2
AL081956,GRETA,30,43.7
AL091956,UNNAMED,14,20.6
AL101956,UNNAMED,12,20.6
AL111956,UNNAMED,20,28.3
AL121956,UNNAMED,11,20.6
AL011957,UNNAMED,32,33.4
AL021957,AUDREY,20,56.6
AL031957,BERTHA,14,28.3
AL041957,CARRIE,95,61.7
AL051957,DEBBIE,10,18.0
AL061957,ESTHER,15,28.3
AL071957,FRIEDA,29,38.6
AL081957,UNNAMED,20,25.7
AL011958,ALMA,10,28.3
AL021958,BECKY,37,30.9
AL031958,CLEO,47,61.7
AL041958,DAISY,30,59.2
AL051958,ELLA,35,48.9
AL061958,FIFI,30,38.6
AL071958,GERDA,34,25.7
AL081958,HELENE,54,66.9
AL091958,ILSA,26,48.9
AL101958,JANICE,39,43.7
AL111958,UNNAMED,18,28.3
AL121958,UNNAMED,13,30.9
AL011959,ARLENE,24,28.3
AL021959,BEULAH,15,30.9
AL031959,UNNAMED,20,38.6
AL041959,CINDY,35,33.4
AL051959,DEBRA,22,38.6
AL061959,EDITH,6,25.7
AL071959,FLORA,17,33.4
AL081959,GRACIE,50,59.2
AL091959,HANNAH,46,54.0
AL101959,IRENE,13,20.6
AL111959,JUDITH,34,38.6
AL121959,UNNAMED,20,30.9
AL131959,UNNAMED,30,30.9
AL141959,UNNAMED,21,28.3
AL011960,UNNAMED,27,25.7
AL021960,ABBY,34,36.0
AL031960,BRENDA,46,30.9
AL041960,CLEO,14,38.6
AL051960,DONNA,72,64.3
AL061960,ETHEL,22,51.4
AL071960,FLORENCE,40,25.7
AL081960,UNNAMED,9,20.6
AL011961,ANNA,32,46.3
AL021961,BETSY,58,59.2
AL031961,CARLA,60,64.3
AL041961,DEBBIE,55,41.2
AL051961,ESTHER,70,72.0
AL061961,UNNAMED,15,30.9
AL071961,FRANCES,43,59.2
AL081961,GERDA,23,33.4
AL091961,HATTIE,26,74.6
AL101961,JENNY,38,36.0
AL111961,INGA,20,30.9
AL121961,UNNAMED,15,25.7
AL011962,ALMA,28,38.6
AL021962,BECKY,20,25.7
AL031962,CELIA,39,30.9
AL041962,DAISY,41,46.3
AL051962,ELLA,45,48.9
AL061962,UNNAMED,31,28.3
AL071962,UNNAMED,40,41.2
AL011963,ARLENE,55,51.4
AL021963,BEULAH,80,54.0
AL031963,UNNAMED,21,36.0
AL041963,CINDY,16,28.3
AL051963,DEBRA,23,33.4
AL061963,EDITH,28,43.7
AL071963,FLORA,79,66.9
AL081963,GINNY,52,48.9
AL091963,HELENA,23,23.1
AL101963,UNNAMED,14,25.7
AL011964,UNNAMED,34,30.9
AL021964,UNNAMED,50,38.6
AL031964,ABBY,14,30.9
AL041964,BRENDA,11,23.1
AL051964,CLEO,92,66.9
AL061964,DORA,75,59.2
AL071964,ETHEL,54,46.3
AL081964,FLORENCE,21,20.6
AL091964,GLADYS,48,59.2
AL101964,HILDA,39,61.7
AL111964,ISBELL,34,51.4
AL121964,UNNAMED,22,30.9
AL131964,UNNAMED,20,25.7
AL131964,UNNAMED,19,25.7
AL011965,UNNAMED,30,25.7
AL021965,ANNA,22,46.3
AL031965,BETSY,74,61.7
AL041965,CAROL,70,41.2
AL051965,DEBBIE,24,25.7
AL061965,ELENA,33,48.9
AL071965,UNNAMED,31,25.7
AL081965,UNNAMED,17,30.9
AL091965,UNNAMED,15,28.3
AL101965,UNNAMED,23,23.1
AL011966,ALMA,42,56.6
AL021966,BECKY,9,33.4
AL031966,CELIA,36,36.0
AL051966,ELLA,26,23.1
AL041966,DOROTHY,37,38.6
AL061966,FAITH,69,56.6
AL071966,GRETA,26,25.7
AL081966,HALLIE,7,23.1
AL091966,INEZ,81,66.9
AL101966,JUDITH,15,23.1
AL111966,LOIS,39,36.0
AL011967,UNNAMED,9,-50.9
AL021967,UNNAMED,13,-50.9
AL031967,UNNAMED,16,-50.9
AL041967,UNNAMED,9,-50.9
AL051967,UNNAMED,17,-50.9
AL061967,UNNAMED,5,-50.9
AL071967,UNNAMED,13,-50.9
AL081967,UNNAMED,25,-50.9
AL091967,UNNAMED,13,-50.9
AL101967,UNNAMED,17,-50.9
AL111967,ARLENE,29,38.6
AL121967,CHLOE,68,48.9
AL131967,BEULAH,70,72.0
AL141967,DORIA,55,38.6
AL151967,UNNAMED,33,-50.9
AL161967,UNNAMED,33,-50.9
AL171967,UNNAMED,13,-50.9
AL181967,EDITH,21,25.7
AL191967,FERN,13,38.6
AL201967,UNNAMED,9,-50.9
AL211967,GINGER,14,23.1
AL221967,UNNAMED,5,-50.9
AL231967,UNNAMED,9,-50.9
AL241967,UNNAMED,9,-50.9
AL251967,HEIDI,54,41.2
AL261967,UNNAMED,13,-50.9
AL011968,ABBY,51,33.4
AL021968,BRENDA,37,33.4
AL031968,CANDY,15,30.9
AL041968,UNNAMED,5,12.9
AL051968,DOLLY,29,36.0
AL061968,UNNAMED,25,12.9
AL071968,UNNAMED,15,15.4
AL081968,EDNA,31,28.3
AL091968,UNNAMED,38,36.0
AL101968,UNNAMED,19,12.9
AL111968,UNNAMED,11,15.4
AL121968,FRANCES,30,25.7
AL131968,UNNAMED,18,-50.9
AL141968,GLADYS,34,38.6
AL151968,UNNAMED,5,12.9
AL011969,UNNAMED,17,12.9
AL021969,UNNAMED,5,12.9
AL031969,UNNAMED,9,12.9
AL041969,UNNAMED,13,12.9
AL051969,UNNAMED,9,15.4
AL061969,ANNA,46,30.9
AL071969,BLANCHE,10,38.6
AL081969,DEBBIE,45,54.0
AL091969,CAMILLE,37,77.2
AL101969,UNNAMED,17,12.9
AL111969,UNNAMED,9,12.9
AL121969,EVE,12,25.7
AL131969,FRANCELIA,27,51.4
AL141969,UNNAMED,13,12.9
AL151969,UNNAMED,21,15.4
AL161969,GERDA,19,56.6
AL171969,HOLLY,27,38.6
AL181969,UNNAMED,17,12.9
AL191969,UNNAMED,8,12.9
AL201969,INGA,99,51.4
AL211969,UNNAMED,19,33.4
AL221969,UNNAMED,23,30.9
AL231969,UNNAMED,10,25.7
AL241969,JENNY,22,20.6
AL251969,KARA,48,46.3
AL261969,LAURIE,42,46.3
AL271969,UNNAMED,14,30.9
AL281969,UNNAMED,31,33.4
AL291969,MARTHA,17,41.2
AL011970,ALMA,39,36.0
AL021970,BECKY,19,28.3
AL031970,UNNAMED,22,12.9
AL041970,CELIA,24,56.6
AL051970,UNNAMED,17,15.4
AL061970,UNNAMED,7,12.9
AL071970,UNNAMED,29,15.4
AL081970,UNNAMED,15,30.9
AL091970,DOROTHY,25,30.9
AL101970,UNNAMED,24,12.9
AL111970,UNNAMED,10,12.9
AL121970,ELLA,20,56.6
AL131970,FELICE,23,30.9
AL141970,UNNAMED,14,12.9
AL151970,UNNAMED,73,15.4
AL161970,GRETA,35,23.1
AL171970,UNNAMED,9,12.9
AL181970,UNNAMED,23,46.3
AL191970,UNNAMED,33,33.4
AL011971,ARLENE,15,28.3
AL021971,UNNAMED,5,12.9
AL031971,UNNAMED,5,12.9
AL041971,UNNAMED,17,38.6
AL051971,UNNAMED,13,12.9
AL061971,BETH,29,38.6
AL071971,UNNAMED,17,12.9
AL081971,CHLOE,29,28.3
AL091971,DORIA,36,28.3
AL101971,UNNAMED,17,12.9
AL111971,FERN,39,41.2
AL121971,UNNAMED,22,15.4
AL131971,EDITH,51,72.0
AL141971,GINGER,118,48.9
AL151971,UNNAMED,13,12.9
AL161971,UNNAMED,17,15.4
AL171971,HEIDI,17,28.3
AL181971,IRENE,37,36.0
AL191971,JANICE,15,28.3
AL201971,UNNAMED,33,12.9
AL211971,KRISTY,16,23.1
AL221971,LAURA,39,30.9
AL011972,ALPHA,24,30.9
AL021972,AGNES,35,38.6
AL031972,UNNAMED,8,12.9
AL041972,UNNAMED,10,12.9
AL051972,UNNAMED,18,12.9
AL061972,UNNAMED,13,12.9
AL071972,UNNAMED,10,12.9
AL081972,UNNAMED,13,12.9
AL091972,UNNAMED,9,12.9
AL101972,BETTY,42,46.3
AL111972,CARRIE,29,30.9
AL121972,UNNAMED,9,12.9
AL131972,DAWN,39,36.0
AL141972,CHARLIE,11,30.9
AL151972,UNNAMED,17,12.9
AL161972,UNNAMED,9,12.9
AL171972,UNNAMED,41,15.4
AL181972,UNNAMED,17,12.9
AL191972,DELTA,25,20.6
AL011973,UNNAMED,13,12.9
AL021973,UNNAMED,13,12.9
AL031973,UNNAMED,9,12.9
AL041973,ALICE,22,41.2
AL051973,UNNAMED,9,12.9
AL061973,ALFA,11,20.6
AL071973,UNNAMED,9,15.4
AL081973,BRENDA,16,41.2
AL091973,CHRISTINE,42,30.9
AL101973,DELIA,23,30.9
AL111973,UNNAMED,25,15.4
AL121973,ELLEN,37,51.4
AL131973,UNNAMED,9,12.9
AL141973,FRAN,20,36.0
AL151973,UNNAMED,9,12.9
AL161973,GILDA,56,30.9
AL171973,UNNAMED,6,15.4
AL011974,UNNAMED,17,12.9
AL021974,UNNAMED,6,28.3
AL031974,UNNAMED,9,15.4
AL041974,UNNAMED,18,15.4
AL051974,UNNAMED,19,23.1
AL061974,UNNAMED,19,25.7
AL071974,ALMA,13,28.3
AL081974,UNNAMED,9,15.4
AL091974,BECKY,28,51.4
AL101974,CARMEN,49,66.9
AL111974,UNNAMED,37,15.4
AL121974,DOLLY,12,23.1
AL131974,ELAINE,38,30.9
AL141974,FIFI,33,48.9
AL151974,UNNAMED,10,12.9
AL161974,UNNAMED,17,15.4
AL171974,GERTRUDE,27,33.4
AL181974,UNNAMED,21,23.1
AL191974,UNNAMED,13,12.9
AL201974,UNNAMED,9,12.9
AL011975,UNNAMED,21,15.4
AL021975,AMY,31,30.9
AL031975,UNNAMED,5,12.9
AL041975,BLANCHE,20,38.6
AL051975,UNNAMED,7,12.9
AL061975,UNNAMED,9,15.4
AL071975,CAROLINE,33,51.4
AL081975,DORIS,29,48.9
AL091975,UNNAMED,24,15.4
AL101975,UNNAMED,13,15.4
AL111975,UNNAMED,6,12.9
AL121975,UNNAMED,14,15.4
AL131975,ELOISE,47,56.6
AL141975,FAYE,46,46.3
AL151975,GLADYS,46,61.7
AL161975,UNNAMED,17,12.9
AL171975,UNNAMED,9,12.9
AL181975,UNNAMED,13,15.4
AL191975,HALLIE,14,23.1
AL201975,UNNAMED,10,12.9
AL211975,UNNAMED,18,15.4
AL221975,UNNAMED,9,12.9
AL231975,UNNAMED,17,30.9
AL011976,UNNAMED,18,23.1
AL021976,UNNAMED,10,15.4
AL031976,UNNAMED,6,15.4
AL041976,UNNAMED,9,12.9
AL051976,UNNAMED,6,12.9
AL061976,ANNA,37,23.1
AL071976,BELLE,18,54.0
AL081976,DOTTIE,15,23.1
AL091976,CANDICE,25,41.2
AL101976,EMMY,62,46.3
AL111976,FRANCES,45,51.4
AL121976,UNNAMED,9,12.9
AL131976,UNNAMED,9,12.9
AL141976,UNNAMED,15,20.6
AL151976,UNNAMED,29,15.4
AL161976,UNNAMED,10,12.9
AL171976,GLORIA,35,46.3
AL181976,UNNAMED,9,15.4
AL191976,UNNAMED,37,15.4
AL201976,UNNAMED,13,15.4
AL211976,HOLLY,26,33.4
AL011977,UNNAMED,6,12.9
AL021977,UNNAMED,6,15.4
AL031977,UNNAMED,5,12.9
AL041977,UNNAMED,13,15.4
AL051977,ANITA,20,77.2
AL061977,BABE,24,33.4
AL071977,CLARA,27,33.4
AL081977,UNNAMED,9,12.9
AL091977,UNNAMED,5,12.9
AL101977,DOROTHY,15,38.6
AL111977,UNNAMED,9,15.4
AL121977,UNNAMED,9,15.4
AL131977,EVELYN,10,36.0
AL141977,FRIEDA,10,25.7
AL151977,UNNAMED,6,15.4
AL011978,UNNAMED,19,20.6
AL021978,UNNAMED,6,12.9
AL031978,UNNAMED,9,15.4
AL041978,AMELIA,6,23.1
AL051978,BESS,13,23.1
AL061978,CORA,19,41.2
AL071978,UNNAMED,18,15.4
AL081978,UNNAMED,6,12.9
AL091978,DEBRA,14,25.7
AL101978,ELLA,27,61.7
AL111978,UNNAMED,9,15.4
AL121978,UNNAMED,33,15.4
AL131978,FLOSSIE,50,43.7
AL141978,UNNAMED,10,15.4
AL151978,HOPE,39,28.3
AL161978,GRETA,26,59.2
AL171978,UNNAMED,45,15.4
AL181978,UNNAMED,9,15.4
AL191978,IRMA,14,23.1
AL201978,JULIET,16,23.1
AL211978,UNNAMED,18,15.4
AL221978,UNNAMED,13,12.9
AL231978,KENDRA,24,36.0
AL241978,UNNAMED,9,12.9
AL011979,UNNAMED,22,15.4
AL021979,ANA,19,25.7
AL031979,UNNAMED,21,12.9
AL041979,BOB,29,33.4
AL051979,UNNAMED,14,15.4
AL061979,CLAUDETTE,57,23.1
AL071979,UNNAMED,14,15.4
AL081979,UNNAMED,25,15.4
AL091979,DAVID,55,77.2
AL101979,UNNAMED,13,15.4
AL111979,FREDERIC,68,59.2
AL121979,ELENA,13,18.0
AL131979,UNNAMED,21,15.4
AL141979,GLORIA,44,43.7
AL151979,HENRI,39,38.6
AL161979,UNNAMED,21,15.4
AL171979,UNNAMED,33,15.4
AL181979,UNNAMED,9,33.4
AL191979,UNNAMED,21,15.4
AL201979,UNNAMED,11,15.4
AL011980,UNNAMED,17,12.9
AL021980,UNNAMED,17,15.4
AL031980,UNNAMED,17,15.4
AL041980,ALLEN,46,84.9
AL051980,UNNAMED,17,15.4
AL061980,BONNIE,24,43.7
AL071980,CHARLEY,22,36.0
AL081980,UNNAMED,17,15.4
AL091980,GEORGES,32,36.0
AL101980,EARL,27,33.4
AL111980,DANIELLE,12,25.7
AL121980,FRANCES,61,51.4
AL131980,HERMINE,23,30.9
AL141980,IVAN,45,46.3
AL151980,UNNAMED,9,12.9
AL161980,JEANNE,35,43.7
AL171980,UNNAMED,25,15.4
AL181980,KARL,13,38.6
AL011981,UNNAMED,5,15.4
AL021981,UNNAMED,10,12.9
AL031981,ARLENE,11,25.7
AL041981,UNNAMED,11,15.4
AL051981,UNNAMED,7,15.4
AL061981,BRET,9,30.9
AL071981,UNNAMED,8,15.4
AL081981,UNNAMED,7,15.4
AL091981,CINDY,12,25.7
AL101981,DENNIS,60,36.0
AL111981,UNNAMED,19,15.4
AL121981,UNNAMED,12,15.4
AL131981,EMILY,47,41.2
AL141981,FLOYD,37,51.4
AL151981,GERT,36,46.3
AL161981,HARVEY,34,59.2
AL171981,UNNAMED,11,15.4
AL181981,IRENE,48,54.0
AL191981,UNNAMED,36,15.4
AL201981,JOSE,15,23.1
AL211981,KATRINA,20,38.6
AL221981,UNNAMED,20,30.9
AL011982,ALBERTO,17,38.6
AL021982,UNNAMED,12,30.9
AL031982,BERYL,37,30.9
AL041982,UNNAMED,15,15.4
AL051982,CHRIS,16,28.3
AL061982,DEBBY,30,59.2
AL071982,UNNAMED,15,15.4
AL081982,ERNESTO,11,30.9
AL011983,UNNAMED,22,15.4
AL021983,UNNAMED,25,15.4
AL031983,ALICIA,25,51.4
AL041983,BARRY,26,36.0
AL051983,CHANTAL,20,33.4
AL061983,DEAN,17,28.3
AL011984,UNNAMED,11,15.4
AL021984,UNNAMED,8,15.4
AL031984,UNNAMED,11,15.4
AL041984,UNNAMED,10,15.4
AL051984,UNNAMED,14,25.7
AL061984,ARTHUR,33,23.1
AL071984,BERTHA,22,18.0
AL081984,CESAR,12,25.7
AL091984,UNNAMED,8,15.4
AL101984,DIANA,33,59.2
AL111984,EDOUARD,7,28.3
AL121984,FRAN,21,28.3
AL131984,GUSTAV,11,23.1
AL141984,HORTENSE,40,33.4
AL151984,ISIDORE,25,25.7
AL161984,JOSEPHINE,56,46.3
AL171984,UNNAMED,12,15.4
AL181984,KLAUS,33,41.2
AL191984,UNNAMED,20,15.4
AL201984,LILI,49,36.0
AL011985,ANA,16,30.9
AL021985,BOB,21,33.4
AL031985,CLAUDETTE,30,38.6
AL041985,DANNY,37,41.2
AL051985,ELENA,33,56.6
AL061985,UNNAMED,21,15.4
AL071985,UNNAMED,10,15.4
AL081985,FABIAN,16,28.3
AL091985,GLORIA,65,64.3
AL101985,HENRI,15,25.7
AL111985,ISABEL,36,30.9
AL121985,JUAN,29,38.6
AL131985,KATE,34,54.0
AL141985,UNNAMED,10,15.4
AL011986,ANDREW,16,23.1
AL021986,BONNIE,21,38.6
AL031986,UNNAMED,21,15.4
AL041986,UNNAMED,7,15.4
AL051986,CHARLEY,68,36.0
AL061986,UNNAMED,21,15.4
AL071986,UNNAMED,13,15.4
AL081986,DANIELLE,14,25.7
AL091986,EARL,38,46.3
AL101986,FRANCES,13,38.6
AL011987,UNNAMED,31,15.4
AL031987,UNNAMED,32,20.6
AL021987,ARLENE,81,33.4
AL041987,UNNAMED,11,15.4
AL051987,BRET,26,23.1
AL061987,UNNAMED,14,15.4
AL071987,CINDY,22,23.1
AL081987,UNNAMED,12,15.4
AL091987,UNNAMED,7,15.4
AL101987,DENNIS,49,23.1
AL111987,UNNAMED,17,15.4
AL121987,EMILY,30,56.6
AL131987,FLOYD,21,33.4
AL141987,UNNAMED,17,15.4
AL011988,ALBERTO,13,18.0
AL021988,BERYL,12,23.1
AL031988,CHRIS,39,23.1
AL041988,DEBBY,33,33.4
AL051988,ERNESTO,9,28.3
AL061988,UNNAMED,13,25.7
AL071988,FLORENCE,20,36.0
AL081988,GILBERT,49,82.3
AL091988,HELENE,44,64.3
AL101988,ISAAC,12,20.6
AL111988,JOAN,53,64.3
AL121988,KEITH,39,33.4
AL131988,UNNAMED,9,12.9
AL141988,UNNAMED,7,15.4
AL151988,UNNAMED,45,15.4
AL161988,UNNAMED,16,15.4
AL171988,UNNAMED,2,15.4
AL181988,UNNAMED,6,12.9
AL191988,UNNAMED,9,15.4
AL011989,UNNAMED,7,12.9
AL021989,ALLISON,29,23.1
AL031989,BARRY,18,23.1
AL041989,CHANTAL,16,36.0
AL051989,DEAN,38,46.3
AL061989,UNNAMED,36,15.4
AL071989,ERIN,37,46.3
AL081989,FELIX,63,38.6
AL091989,UNNAMED,6,12.9
AL101989,GABRIELLE,58,64.3
AL111989,HUGO,64,72.0
AL121989,IRIS,21,30.9
AL131989,UNNAMED,15,15.4
AL141989,JERRY,20,38.6
AL151989,KAREN,24,25.7
AL011990,UNNAMED,7,12.9
AL021990,ARTHUR,22,30.9
AL031990,BERTHA,37,36.0
AL041990,CESAR,31,23.1
AL061990,EDOUARD,44,20.6
AL051990,DIANA,25,43.7
AL071990,FRAN,13,18.0
AL081990,GUSTAV,41,54.0
AL091990,HORTENSE,26,28.3
AL101990,ISIDORE,55,43.7
AL111990,UNNAMED,37,15.4
AL121990,JOSEPHINE,62,38.6
AL131990,KLAUS,25,36.0
AL141990,LILI,38,33.4
AL151990,MARCO,17,28.3
AL161990,NANA,23,38.6
AL011991,ANA,25,23.1
AL021991,UNNAMED,6,15.4
AL031991,BOB,55,51.4
AL041991,UNNAMED,7,15.4
AL051991,UNNAMED,13,15.4
AL061991,CLAUDETTE,43,59.2
AL071991,DANNY,19,23.1
AL081991,ERIKA,18,25.7
AL091991,FABIAN,11,20.6
AL101991,UNNAMED,5,12.9
AL111991,GRACE,18,46.3
AL121991,UNNAMED,22,33.4
AL011992,UNNAMED,14,23.1
AL021992,UNNAMED,5,15.4
AL031992,UNNAMED,8,15.4
AL041992,ANDREW,52,77.2
AL051992,BONNIE,61,48.9
AL061992,CHARLEY,30,48.9
AL071992,DANIELLE,18,28.3
AL081992,UNNAMED,25,15.4
AL091992,EARL,29,28.3
AL101992,FRANCES,31,38.6
AL011993,UNNAMED,11,18.0
AL021993,ARLENE,15,18.0
AL031993,BRET,33,25.7
AL041993,CINDY,12,20.6
AL051993,EMILY,61,51.4
AL061993,DENNIS,21,23.1
AL071993,FLOYD,23,36.0
AL081993,GERT,30,43.7
AL091993,HARVEY,13,33.4
AL101993,UNNAMED,5,15.4
AL011994,ALBERTO,32,28.3
AL021994,UNNAMED,6,15.4
AL031994,BERYL,20,25.7
AL041994,CHRIS,30,36.0
AL051994,UNNAMED,9,15.4
AL061994,DEBBY,8,30.9
AL071994,ERNESTO,18,25.7
AL081994,UNNAMED,10,15.4
AL091994,UNNAMED,7,15.4
AL101994,UNNAMED,7,15.4
AL111994,FLORENCE,28,48.9
AL121994,GORDON,59,38.6
AL011995,ALLISON,35,33.4
AL021995,BARRY,24,30.9
AL031995,CHANTAL,41,30.9
AL041995,DEAN,22,20.6
AL051995,ERIN,30,43.7
AL061995,UNNAMED,9,15.4
AL071995,FELIX,69,61.7
AL081995,GABRIELLE,11,30.9
AL091995,HUMBERTO,41,48.9
AL101995,IRIS,66,48.9
AL111995,JERRY,22,18.0
AL121995,KAREN,31,23.1
AL131995,LUIS,61,66.9
AL141995,UNNAMED,17,15.4
AL151995,MARILYN,79,51.4
AL161995,NOEL,45,33.4
AL171995,OPAL,39,66.9
AL181995,PABLO,16,25.7
AL191995,ROXANNE,56,51.4
AL201995,SEBASTIEN,19,28.3
AL211995,TANYA,29,38.6
AL011996,ARTHUR,22,23.1
AL021996,BERTHA,51,51.4
AL031996,CESAR,18,38.6
AL041996,DOLLY,25,36.0
AL051996,EDOUARD,73,64.3
AL061996,FRAN,72,54.0
AL071996,GUSTAV,29,20.6
AL081996,HORTENSE,53,61.7
AL091996,ISIDORE,33,51.4
AL101996,JOSEPHINE,47,30.9
AL111996,KYLE,7,23.1
AL121996,LILI,60,51.4
AL131996,MARCO,54,33.4
AL011997,UNNAMED,9,23.1
AL021997,ANA,19,20.6
AL031997,BILL,10,33.4
AL041997,CLAUDETTE,16,20.6
AL051997,DANNY,47,36.0
AL061997,UNNAMED,8,15.4
AL071997,ERIKA,67,56.6
AL081997,FABIAN,17,20.6
AL091997,GRACE,13,20.6
AL011998,ALEX,26,23.1
AL021998,BONNIE,49,51.4
AL031998,CHARLEY,13,30.9
AL041998,DANIELLE,61,46.3
AL051998,EARL,33,43.7
AL061998,FRANCES,21,28.3
AL071998,GEORGES,71,69.4
AL081998,HERMINE,15,20.6
AL091998,IVAN,36,41.2
AL101998,JEANNE,54,46.3
AL111998,KARL,26,46.3
AL121998,LISA,21,33.4
AL131998,MITCH,78,79.7
AL141998,NICOLE,35,38.6
AL011999,ARLENE,26,25.7
AL021999,UNNAMED,4,15.4
AL031999,BRET,26,64.3
AL041999,CINDY,51,61.7
AL051999,DENNIS,66,46.3
AL061999,EMILY,18,23.1
AL071999,UNNAMED,8,15.4
AL081999,FLOYD,50,69.4
AL091999,GERT,49,66.9
AL101999,HARVEY,14,25.7
AL111999,UNNAMED,10,15.4
AL121999,UNNAMED,12,15.4
AL131999,IRENE,34,48.9
AL141999,JOSE,34,43.7
AL151999,KATRINA,16,18.0
AL161999,LENNY,39,69.4
AL012000,UNNAMED,4,12.9
AL022000,UNNAMED,12,15.4
AL032000,ALBERTO,87,56.6
AL042000,UNNAMED,13,15.4
AL052000,BERYL,9,23.1
AL062000,CHRIS,9,18.0
AL072000,DEBBY,23,38.6
AL082000,ERNESTO,10,18.0
AL092000,UNNAMED,6,15.4
AL102000,FLORENCE,29,36.0
AL112000,GORDON,29,36.0
AL122000,HELENE,42,30.9
AL132000,ISAAC,52,61.7
AL142000,JOYCE,28,41.2
AL152000,KEITH,35,61.7
AL162000,LESLIE,26,30.9
AL172000,MICHAEL,22,43.7
AL182000,NADINE,13,25.7
AL192000,UNNAMED,20,28.3
AL012001,ALLISON,57,25.7
AL022001,UNNAMED,5,12.9
AL032001,BARRY,25,30.9
AL042001,CHANTAL,33,30.9
AL052001,DEAN,29,30.9
AL062001,ERIN,62,54.0
AL072001,FELIX,46,51.4
AL082001,GABRIELLE,41,36.0
AL092001,UNNAMED,4,15.4
AL102001,HUMBERTO,26,46.3
AL112001,IRIS,22,64.3
AL122001,JERRY,10,23.1
AL132001,KAREN,19,36.0
AL142001,LORENZO,16,18.0
